CodIBGE,PIB_2016,PIB_2017,PIBCap2016,PIBCap2017,ChgPIB,ChgPIBCap,PopEst
3531308,1776015.527,1622753.678,35719.63,32468.71,-0.086295331696163,-0.091012140943229,50498
3533908,1889058.029,2072343.328,35176.68,38350.45,0.097024705533808,0.090223693651589,54772
3534401,75683470.016,77910495.947,108680.97,111637.85,0.029425526215027,0.027206971008816,698418
3534708,2840996.394,2999647.799,25581.66,26827.36,0.055843578448414,0.048695041682205,113542
3535507,1188897.748,1235133.356,26404.11,27292.75,0.03888947394995,0.033655366531953,45703
3536505,36499592.834,35346489.875,364529.33,344847.17,-0.031592214308919,-0.053993350823101,109424
3538006,6763530.359,7003490.004,41666.08,42704.21,0.035478460546968,0.024915470809829,168328
3538709,21824202.932,21896871.501,55332.53,55111.15,0.003329723849545,-0.004000901458871,404142
3539301,2489882.908,2605700.403,33182.95,34524.48,0.04651523757518,0.040428292240443,76409
3539806,4435624.888,4216622.163,38688.4,36511.34,-0.049373590087044,-0.056271647315475,117452
3540705,1864746.119,1975018.492,33842.94,35629.57,0.059135327794186,0.052791808276704,56150
3541000,6197206.626,6688613.693,20338.38,21574.5,0.079294930225229,0.060777702058866,325073
3543303,3000733.199,3046464.997,24772.83,25002.17,0.01524020796492,0.009257723078066,123393
3543402,30035541.734,35315843.181,44536.36,51759.84,0.175801771573267,0.16219286892777,703293
3543907,8920855.878,9418390.654,44278.17,46406.99,0.05577208989857,0.048078319406606,206424
3545209,6037530.555,6869003.31,52412.3,59118.2,0.137717357688801,0.127945157911406,118663
3545803,5375127.208,5494890.225,28138.49,28635.77,0.022280964220112,0.017672590107003,193475
3546405,1967148.987,2042408.615,41949.74,43319.09,0.038258224718797,0.032642633780329,47673
3547809,26837380.335,27470680.404,37653.34,38408.12,0.023597685805946,0.020045499283729,718773
3548500,21708055.066,22532671.801,49977.22,51829.99,0.037986670500553,0.037072290135386,433311
3548708,43222829.059,44680389.366,52567.04,53998.54,0.033722001514764,0.027231892836272,838936
3548807,12960847.025,13106958.707,81604.58,82119.69,0.011273312748632,0.006312268257492,161127
3548906,9991863.389,10475654.558,40989.74,42568.73,0.048418513160679,0.038521591012775,251983
3549102,2787484.551,2923319.383,31122.82,32449.24,0.048730254648862,0.042618888648265,91211
3549805,15621477.243,16493968.035,34974.84,36599.83,0.055852002882183,0.046461685028438,460671
3549904,41630242.963,39829403.908,59814.25,56638.69,-0.043257952075863,-0.05309035890277,721944
3550308,683066696.839,699288352.212,56741.72,57759.39,0.023748274433622,0.017935127803669,12252023
3550605,2581681.273,2724770.748,29502.91,30797.77,0.05542491882963,0.043889229909863,91016
3551009,5064791.097,5204306.338,14147.9,14441.16,0.027546099795239,0.020728164603934,365798
3551702,5005873.251,5362995.78,41230.47,43728.51,0.071340705426103,0.060587230754343,125815
3552205,30530266.892,31852858.426,46791.04,48271.34,0.043320667280068,0.031636398763524,679378
3552403,12237213.217,13744576.16,45403.39,50345.14,0.123178612341735,0.108840991829024,282441
3552502,10492191.93,10761082.009,36424.14,37009.04,0.025627636321746,0.016058031843717,297637
3552809,8113750.992,8843886.421,29403.19,31626.65,0.089987408994915,0.075619686163304,289664
3554003,3779661.782,3841153.307,32079.15,32295.15,0.016269054890796,0.006733345490763,121766
3554102,15525608.251,16799723.431,50874.61,54552.88,0.082065395403619,0.072300701666312,314924
3555000,1641861.01,1760412.728,24988.37,26771.08,0.072205696632019,0.071341588106787,65524
3555406,1783037.243,1964761.455,20409.29,22247.7,0.10191834899323,0.090077116842379,90799
3556206,5357711.971,5734499.773,43857.08,46237.02,0.070326251959691,0.054265810674126,129193
3556503,2539800.88,2658619.501,21565.41,22356.93,0.046782652110901,0.036703220574058,121838
3556701,8085038.402,8729935.717,109471.78,116199.28,0.079764285948286,0.061454193948431,78728
3557006,3076564.987,3001782.366,25884.37,25036.13,-0.024307180675849,-0.032770355237543,122480
3557105,2586155.522,2808056.861,28100.61,30269.67,0.085803555552759,0.077189071696308,94547
4201406,1572794.57,1724538.158,23671.69,25697.19,0.096480233906199,0.085566345284177,68228
4202008,4931618.87,5148509.908,37438.18,38061.55,0.043979683693602,0.016650649150146,142295
4202305,1523083.104,1609122.815,23243.24,24176.25,0.056490490094754,0.040141133508065,68481
4202404,15405703.547,16008743.976,44821.16,45934.42,0.039143972046472,0.024837822135795,357199
4202909,5249638.789,5883937.702,41726.72,45676.36,0.120827153732767,0.094654935734225,134723
4204608,6898751.969,7146730.517,32984.24,33811.63,0.035945421594269,0.025084403945642,215186
4205407,18660875.642,19512519.362,39055.99,40162.6,0.045637929127142,0.028333938020775,500973
4208203,19288428.128,21913882.1,92307.68,103068.37,0.13611549653384,0.116574157209888,219536
4208906,7768568.416,8528975.544,46434.96,49925.22,0.097882529609172,0.075164488135663,177697
4209102,25236074.283,27378204.958,44301.41,47442.9,0.084883672911164,0.070911738475141,590466
4209300,4749124.182,5074152.042,29940.26,32011.96,0.068439536963871,0.069194455893169,157544
4209409,784301.596,841697.994,17435.9,18576.02,0.073181539209822,0.065389225678055,45814
4210100,1447451.732,1659984.753,26028.16,29691.89,0.14683254460329,0.140760238142074,56292
4211900,4375511.63,4832014.633,27110.58,29298.08,0.104331342618326,0.080688056102083,171797
4216602,9885437.906,10131012.587,41882.3,42262.21,0.024842063986963,0.009070896297481,246586
4218707,3405753.942,3514932.381,32850.61,33649.56,0.032057054284986,0.024320705155855,105686
4219309,2145343.628,2205749.57,41657.97,42364.49,0.028156767620632,0.016960019895353,53065
4300604,2609696.147,2607247.17,12583.4,12524.18,-9.38414613063e-4,-0.004706200232052,210305
4303103,5025165.262,4960250.371,39672.57,38959.54,-0.012917961423256,-0.017972871432327,130293
4304606,20133836.12,18947513.375,58761.93,55103.53,-0.058921843702779,-0.06225799595078,346616
4305108,20069797.091,21717020.236,41878.73,44927.71,0.082074728385703,0.072804977610353,510906
4307708,3373535.951,3183305.491,40106.71,37789.87,-0.056389041872701,-0.057766892372872,83202
4309100,1655187.362,1720060.774,47519.16,49078.69,0.039193999114162,0.032818972389242,36232
4309209,10121618.103,12406079.325,36975.03,45089.08,0.225701187177068,0.219446745546927,281519
4313409,8257280.81,8736150.678,33146.73,35013.51,0.057993651786683,0.056318677589011,246748
4313508,1326458.831,2026364.141,30017.17,45569.04,0.527649478176681,0.518099141258153,45994
4314902,72734881.188,73862305.953,49111.38,49740.9,0.015500468916501,0.012818210361835,1483771
4318705,7198241.478,7829272.202,31340.58,33905.58,0.087664567231958,0.081842773809547,236835
4319901,2879301.781,3286118.865,36015.58,40917.42,0.141290185934838,0.136103319729961,81734
4320008,2792944.982,3135020.484,20102.82,22477.13,0.122478424818466,0.118108305202952,141075
4321501,1087933.208,1162766.362,29134.3,30954.27,0.068784695098672,0.062468293386146,38732
4322509,2068241.9,2131390.402,31753.16,32591.56,0.03053245464179,0.026403671319642,66218
4323002,3483649.494,3564507.027,13776.34,14049.15,0.023210582218235,0.019802792323651,255224
5200258,1627628.354,1783502.341,8499.41,9108.33,0.095767554440134,0.071642619899499,212440
5201108,12853491.61,14204319.164,34657.21,37863.85,0.105094210583921,0.092524470377159,386923
5201405,11762376.008,12882843.584,22104.12,23765.14,0.095258608910133,0.075145267036191,578179
5204508,2217910.674,2336724.704,26651.17,27523.26,0.053570250322895,0.032722390799353,91162
5205109,5647513.909,6231011.076,56143.89,60853.88,0.103319297022027,0.083891408308188,108823
5208004,2099769.908,2306354.813,18413.22,19918.6,0.098384544045957,0.081755390963666,121617
5208707,46612710.869,49023142.356,32176.9,33437.67,0.051711892358594,0.039182456980007,1516113
5209101,1506478.881,1539056.02,44076.15,44854.75,0.021624690137292,0.017664882254916,34095
5211503,4052581.994,4144600.669,39909.62,40430,0.022706184633954,0.013038961533585,104742
5212501,3470089.416,3391348.732,17626.84,16989.45,-0.022691255054392,-0.036160196609262,208299
5213806,1267624.311,1274548.339,28169.43,28084.89,0.005462208274104,-0.003001125688379,46136
5221403,1917208.954,2064525.123,16059.04,17024.76,0.076838869697872,0.060135599637338,127599
5221858,2295604.815,2492501.202,14676,15626.97,0.085771028930343,0.064797628781684,168468
5300108,235540044.811,244682756.474,79114.19,80502.47,0.038815954502922,0.017547800211315,3015268
1200203,1223339.766,1287722.097,14905.14,15585.7,0.052628331710751,0.045659416818628,88376
1200401,7880432.108,8151493.581,20899.84,21258.68,0.034396777903185,0.017169509431651,407319
1400100,8110722.016,8939317.148,24847.58,26924.03,0.102160464921055,0.083567494299243,399213
1500404,660477.346,609244.317,12017.42,11027.84,-0.077569699112738,-0.082345461837899,56789
1500602,2497077.505,2500590.608,22713.51,22439.9,0.001406885846741,-0.012046134657303,114594
1503606,1597707.147,1770651.514,16222.85,17971.96,0.108245348545092,0.107817676918667,101247
